ID,Location,Output,Model,COP,FlowT,OutsideT,Days
1,"Selby, Yorkshire",11.2 kW,Mitsubishi Ecodan,3.72,36.1,7.4,360
2,"Llanberis, Gwynedd",5 kW,Mitsubishi Ecodan,4.09,33.2,8.2,352
3,Manchester,6 kW,NIBE F2040,3.08,33.6,8.3,362
4,"Llanberis, Gwynedd",5 kW,Samsung Gen 6,4.41,31.9,7.7,363
5,"Camberley, Surrey",5 kW,Vaillant Arotherm+,4.37,28.5,5.9,260
6,Manchester,5 kW,Mitsubishi Ecodan,3.70,37.5,7.1,364
7,Weymouth,14 kW,Mitsubishi Ecodan,3.90,39.5,9.9,365
8,"Fife, Scotland",7 kW,Vaillant Arotherm+,4.07,33.1,5.1,364
9,Sheffield,5 kW,Vaillant Arotherm+,4.05,32.5,6.9,365
10,North Yorkshire,6 kW,Grant Aerona3,4.40,30.5,7.7,361
11,Derby,8 kW,NIBE F1145,3.48,33.3,5.3,362
12,West Yorkshire,8.5 kW,Mitsubishi Ecodan,3.80,36.8,5.5,175
13,"Machynlleth, Wales",5 kW,Mitsubishi Ecodan,0.01,N/A,N/A,1
14,"Malton, North Yorkshire",14 kW,Mitsubishi Ecodan,3.11,37.8,10.5,217
15,"Newtown, Wales",5 kW,Panasonic 'J' Aquarea,4.21,32.9,0.0,183
16,Gloucestershire,5 kW,Mitsubishi Ecodan,4.25,34.6,6.7,353
17,Weston-super-Mare,7 kW,Daikin Altherma 3,3.32,37.2,8.9,361
20,Nottingham,12 kW,Midea,4.18,35.2,13.9,22
21,Bristol,7 kW,Vaillant Arotherm+,4.02,31.1,0.0,159
22,Cambridge,8 kW,Samsung HTQ ,3.11,37.0,7.3,362
23,Swindon,9 kW,Daikin Altherma 3,2.49,37.2,12.7,140
24,North Hertfordshire,5 kW,Vaillant Arotherm+,3.65,34.6,7.2,298
25,"Sofia, Bulgaria",8 kW,Atlantic Alfea Extensa,3.17,37.7,4.7,264
26,Stratford-upon-Avon,7 kW,Vaillant Arotherm+,3.96,34.3,7.7,361
27,Basingstoke,11 kW,Daikin Altherma 3,3.69,32.7,8.3,331
31,Swansea,11.2 kW,Mitsubishi Ecodan,3.25,36.4,9.0,336
32,Newbury,14 kW,Mitsubishi Ecodan,3.29,37.7,7.4,364
33,Telford,5 kW,Vaillant Arotherm+,4.23,27.6,8.0,364
34,Banbury,7 kW,Vaillant Arotherm+,4.05,30.8,6.9,330
36,Sheffield,11.2 kW,Mitsubishi Ecodan,3.95,39.4,9.3,203
37,Kidderminster,7 kW,Acond PRO-N,3.96,34.0,8.1,352
39,"Fleet, Hampshire",12.12 kW,Daikin Altherma 3 H HT,3.35,39.2,7.4,335
40,Derby,11.2 kW,Mitsubishi Ecodan,2.69,41.5,9.6,243
41,St Albans,5 kW,Vaillant Arotherm+,3.70,36.5,7.1,355
43,Edinburgh,7 kW,Vaillant Arotherm+,3.37,38.0,6.5,364
44,"Farnborough, Hampshire",8 kW,Daikin Altherma 3,3.55,34.5,8.5,357
45,Milton Keynes,16 kW,Samsung Gen 6,3.41,36.2,7.4,365
46,"Mytchett, Surrey",7 kW,Vaillant Arotherm+,4.62,30.7,8.1,354
47,Sheffield,13 kW,Kensa EVO 13,3.60,38.9,6.0,349
49,Shirehampton Bristol,6 kW,Daikin Altherma,2.31,44.2,10.4,362
50,"Deiniolen, Gwynedd",11.2 kW,Mitsubishi Ecodan,3.60,31.3,7.7,348
51,"Rushden, Northamptonshire",7 kW,Vaillant Arotherm+,4.15,29.8,7.0,353
52,Preston,6 kW,Mitsubishi Ecodan,3.75,37.4,0.0,298
53,Stroud,5 kW,Vaillant Arotherm+,4.55,28.0,6.7,335
55,"Brynrefail, Gwynedd",12 kW,NIBE F2040,2.90,21.5,11.2,195
56,"Huddersfield, West Yorkshire",8.5 kW,Mitsubishi Ecodan,3.14,39.5,6.4,364
57,"Dinorwic, Gwynedd",13 kW,Grant Aerona3,4.03,34.7,8.1,319
59,Oxford,5 kW,Vaillant Arotherm+,3.72,34.3,6.3,328
60,"Neyland, Pembrokeshire",5 kW,Samsung Gen 6,3.96,39.6,11.1,355
61,"Sleaford, Lincolnshire",12 kW,NIBE F2040,3.40,34.9,7.1,350
63,"Farnham, Surrey",11 kW,Daikin Altherma,3.14,36.8,6.3,351
64,Newport,7 kW,Vaillant Arotherm+,3.80,35.0,6.2,343
65,Bristol,9 kW,Nibe F2050,4.66,31.7,8.9,347
66,"Broxburn, West Lothian",12 kW,Nibe S1155 PVT,4.99,33.5,6.9,348
67,Brighton and Hove,8.5 kW,Mitsubishi Ecodan,4.02,34.0,9.4,311
68,Sheffield,10 kW,Viessmann Vitocal 150A,4.97,30.1,5.5,347
69,"Wrexham, North Wales",17 kW,Grant Aerona3,3.33,33.0,7.3,343
70,"Carlby, STAMFORD",12 kW,Samsung Gen 6,2.57,48.7,11.9,325
71,"Market Drayton, Shropshire",8 kW,Samsung Gen 6,3.86,32.1,6.5,326
72,Ipswich,8 kW,Daikin Altherma 3,3.95,33.5,7.9,333
73,Ackworth,8.5 kW,Mitsubishi Ecodan,3.90,33.9,6.6,359
74,"Reigate, Surrey",11.2 kW,Mitsubishi Ecodan,1.87,38.4,16.8,106
75,"Beddgelert, Gwynedd",5 kW,Vaillant Arotherm+,4.36,32.3,7.7,316
76,Bristol UK,7 kW,Daikin Altherma 3,2.94,32.6,8.2,313
77,"Woodham, Surrey",5 kW,Vaillant Arotherm+,3.73,37.6,8.0,364
78,Bishop's Stortford,5 kW,Vaillant Arotherm+,3.54,34.3,8.8,318
79,Reading,7 kW,Vaillant Arotherm+,3.77,32.7,7.5,364
80,"Whitchurch, Hampshire",6 kW,Daikin Altherma 3,3.58,30.6,7.7,316
81,Haywards Heath,3.5 kW,Vaillant Arotherm+ ,3.75,34.0,7.2,314
82,Varese - Italy,8.5 kW,Mitsubishi Ecodan,2.74,32.0,6.1,363
83,Croydon,16 kW,LG Therma V,3.52,35.7,9.1,365
84,Machynlleth,6 kW,Ecoforest   EcoAir 1-7,4.39,34.1,7.8,314
86,Cambridgeshire,11 kW,Daikin Altherma 3,3.84,35.4,8.9,261
87, (Laubeck) East riding of Yorkshire,9 kW,Daikin Altherma 3,3.08,33.6,7.5,342
88,"Lichfield, UK",12.5 kW,Stiebel Eltron WPL25-AS,3.78,38.0,7.6,289
90,Kidlington,5 kW,Vaillant Arotherm+,3.65,33.9,6.8,365
95,"Banavie, Fort William",2.7 kW,Mitsubishi SRC20ZSX-W,0.00,0.0,4.0,295
96,"Mayfield, East Sussex",30 kW,2x Kensa Evo 15,2.89,37.9,0.0,186
97,"Llanfrothen, Gwynedd",10 kW,Grant Aerona3,3.55,35.1,7.1,298
99,Saffron Walden,11.2 kW,Mitsubishi Ecodan,3.23,34.7,6.4,264
105,"Chelmsford, Essex",11.2 kW,Mitsubishi Ecodan,4.10,30.8,6.4,279
106,"Alcester, Warwickshire",16 kW,Samsung Gen 6,2.92,35.5,8.5,364
108,"Ely, Cambridgeshire",12 kW,Samsung Gen 6,3.48,33.4,7.6,270
109,St Albans,5 kW,Vaillant Arotherm+,3.96,29.0,7.8,274
110,Sheffield,12 kW,LG Therma V,3.04,30.7,6.0,153
111,Reading UK,9 kW,Daikin Altherma 3 EDLA09D3V3,3.29,34.3,8.1,250
113,Bournemouth,8 kW, Daikin Altherma 3,3.95,34.7,9.7,261
114,Cambridgeshire,13 kW,Grant Aerona 3,4.50,33.7,8.4,240
115,"Hatfield, Hertfordshire",5 kW,Vaillant Arotherm+,4.16,32.1,6.8,268
116,"Gallt-y-foel, Gwynedd",5 kW,Samsung Gen 6,4.63,29.3,7.7,229
117,Neath Port Talbot,6 kW,Daikin Altherma 3,4.06,37.4,8.7,259
118,"Medstead, Hampshire",16 kW,Midea ,3.44,35.6,7.3,255
120,Hertfordshire,9 kW,Daikin Altherma 3,3.05,35.7,6.7,189
122,Lightwater,6 kW,Mitsubishi Ecodan,3.44,38.2,8.4,252
123,Brighton & Hove,5 kW,Vaillant Arotherm+,3.34,38.5,7.6,240
124,North London,7 kW,Vaillant Arotherm+,4.21,34.8,9.1,253
125,"Cuffley, Hertfordshire",5 kW,Vaillant Arotherm+,3.32,35.4,9.4,252
126,East Midlands,11 kW,Daikin Altherma 3,3.96,30.8,7.8,247
127,"Berlin, Germany",10 kW,Vaillant Arotherm+,3.04,33.8,6.3,242
131,Swindon,9 kW,Daikin Altherma 3,2.56,35.3,8.0,52
132,North Yorkshire,11.2 kW,Mitsubishi Ecodan,3.93,36.4,8.4,235
133,Falkirk,5 kW,Vaillant Arotherm+,2.71,36.5,5.5,284
134,Coventry,8 kW,Daikin Altherma 3,2.12,41.2,14.1,62
138,Derby,8.5 kW,Mitsubishi Ecodan,4.44,31.6,8.1,233
139,Frimley,5 kW,Vaillant Arotherm+,4.79,28.1,8.6,222
140,Buckinghamshire,10 kW,Vaillant Arotherm+,4.21,35.5,7.5,284
143,"Devon, Mid",5 kW,Vaillant Arotherm+,4.13,25.3,8.0,234
144,Sheffield,5 kW,Vaillant Arotherm+,4.09,32.0,7.1,227
146,Thame ,10 kW,Clivet ,4.48,32.6,6.6,189
147,"Norfolk, United Kingdom",4 kW,Daikin Altherma 3,3.38,32.1,10.5,171
148,Cheltenham,9 kW,Daikin Altherma 3,3.10,31.9,11.5,220
149,Harpenden ,8 kW,Viessmann Vitocal 151A,4.61,28.5,8.1,222
150,Basingstoke Hants,9 kW,Samsung R410a,4.30,36.1,10.3,195
151,Warwick ,5 kW,Vaillant Arotherm+ ,4.56,30.9,7.6,218
152,Gwent,7 kW,Vaillant Arotherm+,3.71,33.0,6.6,245
153,Finchampstead,7 kW,Vaillant Arotherm+,4.87,32.2,9.8,174
154,"High Wycombe, Buckinghamshire",4 kW,Worcester Bosch Compress 5800i,4.04,35.1,9.8,97
158,Manchester,7 kW,Vaillant Arotherm+,4.03,30.6,8.3,219
159,"Cairngorms National Park, Scotland",7 kW,Panasonic J Series,4.45,30.1,2.9,208
160,Bristol,5 kW,Vaillant Arotherm+,3.81,32.1,9.0,211
161,"Issum, Germany",14 kW,Midea Nam V10,4.46,32.9,10.6,211
162,West Oxfordshire,6 kW,Daikin Altherma 3,3.51,34.4,7.9,250
163,"Finchampstead, Berkshire",7 kW,Vaillant Arotherm+,0.52,23.2,14.5,173
167,"Cadross, Dumbarton",10 kW,Nibe S2050 ,4.01,37.1,7.3,269
169,"Swanage, Dorset, UK",7 kW,Vaillant Arotherm Split,3.53,27.8,9.5,205
170,Devon,11.2 kW,Mitsubishi Ecodan,3.61,41.7,7.8,361
172,"Wadhurst, East Sussex",15 kW,Kensa Evo15,2.89,37.9,0.0,186
173,NE Derbyshire,12 kW,Samsung Gen 6,3.23,36.0,7.0,182
174,"Ealing, London",5 kW,Vaillant Arotherm+,4.44,31.6,10.2,197
175,Wokingham,7 kW,Vaillant Arotherm+,4.08,34.6,9.1,198
176,Crystal Palace,18 kW,2 x NIBE 2050 Cascade,4.56,27.5,12.1,200
193,"Lucens, Switzerland",12.7 kW,Daikin Altherma 3 H HT,3.75,29.8,7.2,194
195,"Louth, Lincolnshire",7 kW,Vaillant Arotherm+,4.10,35.2,8.8,197
196,Ashstead,12 kW,Vaillant Arotherm+,4.55,33.0,9.4,197
197,Caversham,14 kW,Samsung HTQ ,3.50,27.3,10.8,346
202,"Robertsbridge, East Sussex",5 kW,Vaillant Arotherm+,4.26,29.8,9.3,158
204,"Caersws, Mid Wales",12 kW,Stiebel Eltron WPE-I 12 H ,5.14,32.7,10.0,183
208,"Goudhurst, Kent",12 kW,Vaillant Arotherm+,4.57,34.4,10.1,183
209,Aberdeenshire,10 kW,Vaillant Arotherm+,4.41,33.7,7.9,182
210,"Farnham, Surrey",7 kW,Vaillant Arotherm+,4.16,34.9,2.7,187
211,"Beauly, Invernessshire",7 kW,Vaillant Arotherm+,3.06,33.7,8.2,184
212,"Edwinstowe, Nottinghamshire",6 kW,Mitsubishi Ecodan,3.49,38.2,10.7,167
213,Solihull,8 kW,Viessmann Vitocal 151A,4.00,28.7,9.6,197
215,"Faaborg, Denmark ",12 kW,Sprsun EVI,3.71,34.1,7.4,179
216,"Fetcham, Surrey",6 kW,Daikin Altherma 3 LT Split,3.61,36.2,11.8,176
222,"Foveran, Aberdeenshire",12 kW,Vaillant Arotherm+,4.34,35.5,8.4,164
223,Wokingham,7 kW,	Vaillant Arotherm+,2.86,43.5,11.9,163
224,Wokingham,8 kW,Daikin Altherma 3,3.25,38.1,13.5,110
225,Wirral ,5 kW,Ideal Logic Air,4.22,33.0,1.2,157
227,Berkhamstead,5 kW,Vaillant Arotherm+,4.01,32.5,11.6,157
228,Birmingham,4 kW,Daikin Altherma 3,2.30,38.8,8.5,151
231,"Epsom, Surrey",5 kW,Vaillant Arotherm+,4.11,36.4,12.6,138
232,Potters Bar,6 kW,Viessmann Vitocal 150A,3.83,32.5,10.2,146
237,Huddersfield,5 kW,Ideal Logic Air,4.28,32.5,9.9,131
238,Guildford,5 kW,Vaillant Arotherm+,3.94,36.2,11.7,148
239,London,7 kW,Vaillant Arotherm+,4.63,31.5,10.0,183
240,Wrexham,7 kW,Vaillant Arotherm+,2.57,48.4,12.6,113
241,Glasgow,12 kW,Panasonic Aquarea T-Cap,3.99,38.0,12.9,139
243,Towcester,7 kW,Vaillant Arotherm+,3.82,31.6,10.8,156
244,Gloucester ,7 kW,Vaillant Arotherm+,4.39,31.7,10.8,150
248,"Fleet, Hampshire",5 kW,Vaillant Arotherm+,4.41,32.7,14.2,131
249,Surrey,8.3 kW,Nibe F2050,2.04,40.2,12.7,126
250,Nottingham,5 kW,Samsung Gen 7,2.71,51.5,19.2,123
251,"Ottawa, Canada",7 kW,Gree Flexx,2.28,22.1,16.6,120
252,"Silkeborg, Denmark",7.6 kW,NIBE S2125,3.60,39.0,17.0,119
254,Angus,7 kW,Vaillant Arotherm+,4.55,28.7,12.6,115
256,Aylesbury ,16 kW,Viessmann Vitocal 150A,4.82,30.0,11.9,134
258,Hook,7 kW,Vaillant Arotherm+,3.33,38.8,14.0,107
259,Northampton,9 kW,Daikin Altherma 3,2.43,40.7,18.0,96
260,"Northwood, London",7 kW,Vaillant Arotherm+,4.88,34.2,15.3,97
261,Guildford,7 kW,Vaillant Arotherm+,3.82,39.7,16.8,94
262,"Sawtry, Cambridgeshire",7 kW,Vaillant Arotherm+,3.63,27.4,11.1,116
263,"Heathfield, East-Sussex",10 kW,Viessmann Vitocal 151A,2.51,46.7,18.4,106
264,St Albans,7 kW,Vaillant Arotherm+,4.06,48.4,17.7,108
265,Bricket Wood,4 kW,Viessmann Vitocal 151A,3.29,42.2,13.9,132
266,Runcorn ,8 kW,Samsung Gen 7,3.06,39.3,14.8,106
267,Shetland,12 kW,Stiebel Eltron WPE-I 12 HK 230 Premium,4.69,31.4,12.0,24
268,Liphook,5 kW,Vaillant Arotherm+,4.68,31.5,12.6,6
269,Altrincham,5 kW,Vaillant Arotherm+,2.21,36.2,15.5,87
272,Shetland,8 kW,Vaillant Arotherm+,3.58,36.2,5.1,253
275,"Yvoir, Belgium",5 kW,Vaillant Arotherm+,-5.55,18.5,23.7,49
276,Machynlleth,6 kW,Mitsubishi Ecodan,4.54,34.4,10.6,152
277,York,12 kW,Vaillant Arotherm+,5.44,34.4,15.6,58
278,Gwynedd,10 kW,Vaillant Arotherm+,4.79,31.6,10.2,158
279,"London, UK",16 kW,Daikin Altherma 3,1.94,42.0,18.7,78
280,"Taunton, Somerset",7 kW,Vaillant Arotherm+,4.56,37.2,20.2,74
281,Middlesex,12 kW,Vaillant Arotherm+,3.34,41.1,16.1,116
282,Newcastle,5 kW,Vaillant Arotherm+,4.18,30.1,9.5,164
283,Pembrokeshire ,3.5 kW,Vaillant Arotherm+,3.62,44.8,15.8,68
284,Woodley,7 kW,Vaillant Arotherm+,4.10,41.5,19.2,66
286,Leicester,5 kW,Vaillant Arotherm+,4.42,34.1,0.6,325
287,Lincoln,11 kW,Clivet,3.64,36.5,7.3,244
288,Edinburgh,16 kW,Nibe F2040,3.30,36.9,14.4,65
289,North Newbald,8 kW,Ideal Logic Air,3.27,40.7,4.5,134
290,"Ashford, Kent",8 kW,Ideal HP290,2.52,45.3,6.1,128
291,Gainsborough,14 kW,Ideal HP290 ,2.69,37.4,6.1,74
292,"Dorking, Surrey",24 kW,2 x Vaillant Arotherm+,4.97,30.0,13.2,65
293,"Stalmine, Lancashire",9 kW,Daikin Altherma 3,3.18,31.7,14.8,64
295,Marston Moretaine,9 kW,Daikin Altherma 3,2.11,39.8,15.6,60
296,Manchester,7 kW,Vaillant Arotherm+,3.48,31.2,13.0,68
297,Loughborough,12 kW,Vaillant Arotherm+,3.18,48.1,16.4,57
298,Uxbridge,6 kW,NIBE 2050,3.22,40.6,17.2,57
299,Queensbury West Yorkshire,7 kW,Vaillant Arotherm+,1.19,38.7,13.4,56
300,Croxley Green,8 kW,Viessmann Vitocal 150A,5.44,29.7,12.7,47
301,"Smalley, Derbyshire",5 kW,Vaillant Arotherm+,4.47,36.8,15.8,3
302,Dalry,8.5 kW,Mitsubishi Ecodan ,3.38,28.8,1.8,63
303,"Holmfirth, West Yorkshire ",8 kW,Daikin Altherma 3,2.47,41.9,15.7,35
304,Poulton,7 kW,Vaillant Arotherm+,3.71,44.8,17.4,48
305,"Drumclog, South Lanarkshire",12 kW,	Vaillant Arotherm+,2.25,36.2,13.8,49
306,Creswell,7 kW,Vaillant Arotherm+,3.31,46.8,13.8,47
307,Great Haseley,10 kW,Viessmann Vitocal 151A,4.74,44.2,15.2,45
308,"Hitchin, Hertfordshire",5 kW,Vaillant Arotherm+,4.63,33.1,12.3,131
309,"Ware, Hertfordshire",8 kW,Nibe S1156,4.63,26.1,16.4,43
311,"Saxilby, Lincolnshire UK",12 kW,Midea,8.25,42.0,16.0,44
312,Ipswich,10 kW,Viessmann Vitocal 151A,3.63,48.0,17.6,40
313,York,8 kW,Viessmann Vitocal 150A,3.30,40.8,17.7,35
314,"Derrygonnelly, NI",8 kW,Viessmann Vitocal 150A,3.33,41.7,14.2,41
315,"Chatham, Kent",7 kW,	Vaillant Arotherm+,3.71,41.5,13.5,34
319,"Clunbury, Shropshire",16 kW,Viessmann Vitocal 150A,5.12,33.0,14.1,38
320,"York, North Yorkshire",8 kW,Samsung Gen 7,2.58,47.6,16.6,40
321,Dereham Norfolk,7 kW,Vaillant Arotherm+,4.95,40.7,21.2,38
322,"Heathfield, East-Sussex",4 kW,Viessmann Vitocal 151A,3.06,54.5,19.0,16
324,Northamptonshire,9 kW,Daikin Altherma 3,1.72,39.4,14.7,33
325,Newcastle,4 kW,Daikin Altherma 3,4.30,35.5,15.6,32
326,South Devon,8 kW,Riello NXHM,4.56,31.3,21.9,32
328,Wirral ,13 kW,Viessmann Vitocal 150A,2.28,50.7,16.4,54
329,Rednal,16 kW,Viessmann Vitocal 150A,4.71,30.9,14.3,26
330,Horley,5 kW,Vaillant Arotherm+,4.16,45.2,18.7,5
331,Perth,7 kW,Vaillant Arotherm+,3.01,43.2,14.0,41
332,Newbury,10 kW,Vaillant Arotherm+,3.61,44.2,20.4,37
333,Oxford,5 kW,Vaillant Arotherm+,2.76,53.6,17.2,9
334,Cornwall,7 kW,Vaillant Arotherm+,4.31,34.7,13.8,5
335,"Burgess Hill, West Sussex",5 kW,Vaillant Arotherm+,4.52,36.7,17.8,16
337,"Elgin, Scotland ",6 kW,Maxa i32V5 ,3.63,34.1,12.0,4
338,"Buntingford, Hertfordshire",4 kW,Daikin Altherma 3,4.10,41.9,18.4,12
341,Surrey ,8 kW,Viessmann Vitocal 150A,2.48,41.2,22.4,42
342,Ramsey,7 kW,Vaillant Arotherm+,3.36,43.8,16.0,5
343,"Chorley, Lancashire",5 kW,Vaillant Arotherm+,4.57,33.2,14.7,89
344,Suffolk,7 kW,Vaillant Arotherm+,4.65,39.4,20.0,4
345,"Wirral, Merseyside",7 kW,Vaillant Arotherm+,3.17,47.3,14.0,2
